code,Avregistrerad,Orsak,Land,Luftfartygstyp,Tillverkningsnummer,Tillverkningsår,Max startvikt (kg),Luftvärdighetshandling giltig t.o.m.,Registreringsdatum,owners_amount,owner.type,owner.id,owner.name,owner.address,owner.since
SE-031,1996-02-22,Exported,Switzerland,SAAB-2000,2000-031,1995,"22500,0",,1996-01-18,1,Senast registrerad ägare,503813.0,Saab Aircraft AB,581 88 LINKÖPING Sweden,1996-01-18
SE-032,2005-04-22,Exported,United Kingdom,SAAB-2000,2000-032,1996,"22999,0",,2005-04-19,1,Senast registrerad ägare,504897.0,Swedish Aircraft Holdings AB,Hus 209-4 581 88 LINKÖPING Sweden,2005-04-19
SE-033,1996-03-21,Exported,Switzerland,SAAB-2000,2000-033,1996,"22500,0",,1996-02-16,1,Senast registrerad ägare,503813.0,Saab Aircraft AB,581 88 LINKÖPING Sweden,1996-02-16
SE-034,2006-08-08,Exported,United States of America,SAAB-2000,2000-034,1996,"22999,0",,2006-03-24,1,Senast registrerad ägare,504897.0,Swedish Aircraft Holdings AB,Hus 209-4 581 88 LINKÖPING Sweden,2006-04-27
SE-035,1996-04-18,Exported,Switzerland,SAAB-2000,2000-035,1996,"22500,0",,1996-03-19,1,Senast registrerad ägare,503813.0,Saab Aircraft AB,581 88 LINKÖPING Sweden,1996-03-19
SE-036,2004-11-30,Exported,United Kingdom,SAAB-2000,2000-036,1996,"22999,0",,2003-06-18,1,Senast registrerad ägare,504897.0,Swedish Aircraft Holdings AB,Hus 209-4 581 88 LINKÖPING Sweden,2003-06-18
SE-037,1996-05-29,Exported,Switzerland,SAAB-2000,2000-037,1996,"22500,0",,1996-05-03,1,Senast registrerad ägare,503813.0,Saab Aircraft AB,581 88 LINKÖPING Sweden,1996-05-03
SE-038,1996-08-09,Exported,Switzerland,SAAB-2000,2000-038,1996,"22500,0",,1996-07-03,1,Senast registrerad ägare,503813.0,Saab Aircraft AB,581 88 LINKÖPING Sweden,1996-07-03
SE-039,1996-10-18,Exported,Switzerland,SAAB-2000,2000-039,1996,"22500,0",,1996-09-17,1,Senast registrerad ägare,503813.0,Saab Aircraft AB,581 88 LINKÖPING Sweden,1996-09-17
SE-040,2010-07-02,Exported,Pakistan,SAAB-2000,2000-040,1996,"22999,0",,2007-03-14,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,2007-05-28
SE-041,1996-11-20,Exported,Switzerland,SAAB-2000,2000-041,1996,"22500,0",,1996-10-24,1,Senast registrerad ägare,503813.0,Saab Aircraft AB,581 88 LINKÖPING Sweden,1996-10-24
SE-042,1997-01-23,Change of registration mark,,SAAB-2000,2000-042,1996,"22500,0",,1996-11-25,1,Senast registrerad ägare,503813.0,Saab Aircraft AB,581 88 LINKÖPING Sweden,1996-11-25
SE-043,1997-01-31,Change of registration mark,,SAAB-2000,2000-043,1996,"22500,0",,1996-12-17,1,Senast registrerad ägare,503813.0,Saab Aircraft AB,581 88 LINKÖPING Sweden,1996-12-17
SE-044,1997-03-12,Change of registration mark,,SAAB-2000,2000-044,1997,"22500,0",,1997-02-11,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,1997-02-11
SE-045,2011-10-03,Exported,Pakistan,SAAB-2000,2000-045,1997,"22999,0",,2007-01-03,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,2007-05-28
SE-046,1997-04-22,Change of registration mark,,SAAB-2000,2000-046,1997,"22800,0",,1997-03-26,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,1997-03-26
SE-047,1997-05-29,Exported,Switzerland,SAAB-2000,2000-047,1997,"22800,0",,1997-04-30,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,1997-04-30
SE-048,1997-06-25,Exported,Switzerland,SAAB-2000,2000-048,1997,"22800,0",,1997-05-29,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,1997-05-29
SE-049,2010-02-23,Exported,Pakistan,SAAB-2000,2000-049,1997,"22999,0",2009-02-28,2007-03-14,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,2007-06-15
SE-050,2014-06-05,Exported,Saudi Arabia,SAAB-2000(AEW&C),2000-050,1997,"23500,0",,2012-10-09,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,2012-10-09
SE-051,1998-11-23,Exported,Japan,SAAB-2000,2000-051,1998,"22500,0",,1998-03-06,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,1998-03-06
SE-052,2014-06-05,Exported,Saudi Arabia,SAAB-2000(AEW&C),2000-052,1997,"23500,0",,2012-10-09,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,2012-10-09
SE-053,1998-01-08,Change of registration mark,,SAAB-2000,2000-053,1997,"22800,0",,1997-11-20,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,1997-11-20
SE-054,1998-11-23,Exported,Japan,SAAB-2000,2000-054,1998,"22500,0",,1998-04-24,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,1998-04-24
SE-055,1998-03-24,Change of registration mark,,SAAB-2000,2000-055,1998,"22800,0",,1998-01-23,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,1998-01-23
SE-056,1998-04-29,Exported,Switzerland,SAAB-2000,2000-056,1998,"22800,0",,1998-03-20,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,1998-03-20
SE-057,2020-06-11,Exported,Pakistan,SAAB-2000,2000-057,1998,"22999,0",,2018-03-16,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,2018-03-16
SE-058,2023-11-21,Exported,Pakistan,SAAB-2000,2000-058,1998,"22999,0",,2019-02-11,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,2019-02-11
SE-059,1998-11-03,Exported,Switzerland,SAAB-2000,2000-059,1998,"22500,0",,1998-10-01,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,1998-10-01
SE-060,2018-08-29,Exported,Pakistan,SAAB-2000,2000-060,1999,"22999,0",,2016-11-09,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,2016-11-09
SE-061,2019-06-05,Exported,Pakistan,SAAB-2000,2000-061,1999,"22999,0",,2018-03-16,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,2018-03-16
SE-062,1999-04-14,Exported,Switzerland,SAAB-2000,2000-062,1999,"22999,0",,1999-03-08,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,1999-03-08
SE-063,1999-04-29,Exported,Switzerland,SAAB-2000,2000-063,1999,"22999,0",,1999-04-21,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,1999-04-21
SE-064,2017-08-28,Owners request,,Gulfstream-GV-IV,1014,1987,"33204,0",,2017-08-03,1,Senast registrerad ägare,500934.0,Klippans kommun,Drottningvägen 5 26451 Ljungbyhed Sweden,2017-08-03
SE-400,1996-08-27,Exported,United States of America,SAAB-340B,340B-400,1996,"13155,0",,1996-08-05,1,Senast registrerad ägare,503813.0,Saab Aircraft AB,581 88 LINKÖPING Sweden,1996-08-05
SE-ACW,,,,PIETENPOL AIR CAMPER,EAA-1093,2014,"520,0",,2014-10-01,1,,,,,
SE-ACX,,,,PIETENPOL AIR CAMPER,PFA 047-13014,2002,"520,0",,2018-06-25,1,,,,,
SE-ADF,,,,DE HAVILLAND-DH-82A,568,1932,"830,0",2026-06-30,1947-02-07,1,Registrerad ägare,503129.0,KSAK Veteranflyg,Box 750 52122 FALKÖPING Sweden,1994-04-25
SE-AEC,,,,BLERIOT-XI,-1381,1918,"450,0",2011-04-30,2010-06-30,1,Registrerad ägare,505126.0,Stiftelsen Tekniska Museet,Museivägen 7 115 27 STOCKHOLM Sweden,2010-06-30
SE-AFH,,,,DE HAVILLAND-DH 80A,2038,1930,"923,0",2024-11-30,2016-11-14,1,,,,,
SE-AGC,,,,CORBEN-JUNIOR-ACE-MOD-6,EAA-1125,1936,"470,0",,2019-10-17,1,,,,,
SE-AGE,2016-10-28,Exported,Australia,DE HAVILLAND-DH 87B,8136-80,1937,"908,0",2016-04-30,1998-06-29,1,Senast registrerad ägare,502648.0,Föreningen Veteranflyg Norrköping,Sweden,1998-06-29
SE-AGO,,,,PIPER-J2,993,1937,"455,0",1966-12-31,1937-12-13,1,,,,,
SE-AHC,,,,GV-38,3005/4,1938,"680,0",2026-05-31,2022-05-24,1,Registrerad ägare,502631.0,Göteborgs Veteranflygsällskap,Sweden,2022-05-24
SE-AHG,,,,GV-38,8-860,1938,"680,0",2026-04-30,1972-05-19,1,Registrerad ägare,502631.0,Göteborgs Veteranflygsällskap,Sweden,1998-06-22
SE-AIC,2015-05-18,Exported,Denmark,PIPER J3C-65,2486,1939,"555,0",1993-06-30,1942-07-03,1,,,,,
SE-AIK,2022-04-19,Exported,Germany,BÜCKER-131 JUNGMANN,52,1939,"720,0",2022-06-30,2015-01-09,1,,,,,
SE-AJA,,,,BÜCKER-BÜ 133C,41,1943,"640,0",2026-02-28,2017-04-19,1,,,,,
SE-AKN,,,,KLEMM-Kl35D,1783-1212,1940,"780,0",2025-10-31,2012-10-10,1,Registrerad ägare,504964.0,Westh Flyg AB,Sweden,2012-10-10
SE-ALM,,,,DE HAVILLAND-DH-82A,172,1934,"830,0",2026-08-31,1942-05-07,1,Registrerad ägare,503129.0,KSAK Veteranflyg,Box 750 52122 FALKÖPING Sweden,1994-04-28
SE-AMA,,,,SAI-KZ III-U2,81-111,1945,"700,0",2010-09-30,1981-06-26,1,Registrerad ägare,502631.0,Göteborgs Veteranflygsällskap,Sweden,1981-06-26
SE-AMB,2006-06-26,Non-airworthy,,PIPER J3C-65,12802,1944,"555,0",1988-12-31,1982-01-04,1,,,,,
SE-AMC,2010-11-22,Exported,Finland,AUSTER-MK5,497-284,1943,"840,0",2011-05-31,1985-07-08,1,,,,,
SE-AMD,,,,BÜCKER-131 JUNGMANN,541/2141-526,1958,"720,0",2023-08-31,1985-07-15,1,,,,,
SE-AME,2023-02-17,Exported,Denmark,SAI-KZ III-U2,93-399,1946,"700,0",2023-01-31,1988-12-22,1,,,,,
SE-AMF,1999-11-11,Exported,Denmark,SAI-KZ III-U2,103-416,1946,"700,0",1999-11-30,1988-03-25,1,,,,,
SE-AMG,,,,DE HAVILLAND-DH-82A,84589-95,1940,"830,0",2026-07-31,1993-05-19,1,,,,,
SE-AMH,,,,DE HAVILLAND-DH-82A,84959,1942,"830,0",2000-06-30,1987-08-25,1,,,,,
SE-AMI,,,,DE HAVILLAND-DH-82A,86526-678,1945,"830,0",2026-06-30,1990-07-10,1,,,,,
SE-AMK,,,,PIPER J3C-65,12438-882,1943,"555,0",2026-05-31,2010-04-30,1,,,,,
SE-AMM,2006-06-28,Non-airworthy,,DE HAVILLAND-DH-82A,83226,1941,"830,0",2000-09-30,1998-04-02,1,,,,,
SE-AMN,,,,AUSTER-VJ2,2387,1946,"660,0",1999-07-31,1998-07-28,1,,,,,
SE-AMO,,,,DE HAVILLAND-DH-60 MOTH Replica,-834,2006,"799,0",2025-05-31,2012-08-21,1,,,,,
SE-AMR,,,,DE HAVILLAND-DH-82A,49-FV517-88,1935,"830,0",2024-06-30,1986-06-06,1,,,,,
SE-AMT,2004-04-19,Exported,Germany,BOEING-A75N1,3250-2606,1942,"1338,0",2003-04-09,1985-10-31,1,,,,,
SE-AMY,,,,DE HAVILLAND-DH-82A,82720-761,1940,"830,0",2025-10-31,1990-05-31,1,,,,,
SE-AMZ,,,,BLERIOT-XI,EAA-1184-SE,1918,"450,0",2026-04-30,2005-01-25,1,,,,,
SE-ANU,1991-11-14,Non-airworthy,,TAYLORCRAFT-BC,1227,1939,"500,0",1963-12-31,1945-12-12,1,,,,,
SE-ANX,,,,BHT 1 BEAUTY,1-787,1945,"420,0",,2011-05-05,1,Registrerad ägare,503134.0,Svensk Flyghistorisk Förening,Box 539 611 10 NYKÖPING Sweden,2011-08-31
SE-ARG,,,,AUSTER-MK5,1882,1946,"860,0",1981-06-30,1946-04-10,1,,,,,
SE-ARK,2010-11-11,Total write-off,,AUSTER-VJ1,1953-610,1946,"840,0",2011-03-31,1946-11-22,1,,,,,
SE-ARR,,,,AUSTER-VJ2,2358-1025,1946,"655,0",2025-05-31,1947-07-14,1,,,,,
SE-ASO,,,,PIPER J3C-65,12081,1944,"530,0",2018-06-30,2014-04-16,1,Registrerad ägare,504932.0,Laisviken Förvaltning AB,Box 2075 912 98 KLIMPFJÄLL Sweden,2014-04-16
SE-ASP,,,,PIPER J3C-65,11928-1187,1944,"590,0",2025-08-31,1946-07-25,1,,,,,
SE-ASR,,,,PIPER J3C-65,10486,1943,"555,0",1974-09-30,1960-09-02,2,,,,,
SE-ASS,,,,PIPER J3C-65,11994-890,1943,"530,0",2010-09-30,1997-07-31,1,,,,,
SE-AST,1982-08-31,Non-airworthy,,PIPER J3C-65,12007,1944,"530,0",1972-12-31,1946-08-29,1,Senast registrerad ägare,503983.0,Mjörns Sjöflygskola AB,Första Långgatan 25 413 27 GÖTEBORG Sweden,1971-05-11
SE-ASU,,,,PIPER J3C-65,11708-317,1943,"555,0",2025-12-31,1998-10-26,1,Registrerad ägare,728300.0,Grasshopper 46,Sweden,2025-01-27
SE-ASX,,,,PIPER J3C-65,11711,1944,"555,0",,1946-08-10,1,Registrerad ägare,504359.0,Vinninga Bil O Lantbruksservice,531 03 VINNINGA Sweden,1956-04-18
SE-ATE,,,,PIPER J3C-65,11965-1338,1943,"555,0",2016-04-30,1946-08-20,1,,,,,
SE-ATG,,,,PIPER J3C-65,12043-1011,1944,"555,0",2007-01-31,1999-08-10,1,,,,,
SE-ATH,1982-08-31,Non-airworthy,,PIPER J3C-65,12444,1944,"590,0",1978-04-30,1946-09-24,1,,,,,
SE-ATI,1987-06-03,Change of registration mark,,DE HAVILLAND-DH-82A,568,0,"830,0",1986-04-30,1947-02-07,1,Senast registrerad ägare,504122.0,Kungliga Svenska Aeroklubben,"Gustavslundsvägen 137, 5 tr 167 51 BROMMA Sweden",1947-02-07
SE-ATL,,,,PIPER J3C-65,11243-234,1943,"555,0",2025-12-31,1946-10-23,1,,,,,
SE-ATO,,,,PIPER J3C-65,12517-1155,1944,"555,0",2025-12-31,1946-12-16,1,,,,,
SE-ATP,,,,PIPER J3C-65,12057-943,1944,"555,0",2026-06-30,1946-08-22,1,Registrerad ägare,731811.0,Geothermal & Geoenergy Consulting AB,Sweden,2025-05-05
SE-ATT,,,,PIPER J3C-65,11979-588,1944,"555,0",2026-05-31,1946-09-28,1,,,,,
SE-ATU,,,,PIPER J3C-65,12146-604,1944,"555,0",2004-02-28,1946-12-16,1,,,,,
SE-ATZ,,,,PIPER J3C-65,12319-1200,1944,"555,0",2020-05-31,1946-11-28,1,,,,,
SE-AUE,,,,PIPER J3C-65,9460,1942,"555,0",2026-04-30,1946-10-03,1,,,,,
SE-AUF,,,,PIPER J3C-65,12387-887,1944,"555,0",2019-05-31,1946-12-11,1,,,,,
SE-AUH,,,,PIPER J3C-65,12685-913,1944,"555,0",2022-06-30,1968-06-14,1,,,,,
SE-AUK,,,,PIPER J3C-65,11697,1944,"590,0",1990-04-30,1946-12-11,1,,,,,
SE-AUL,,,,PIPER J3C-65,12066-487,1943,"555,0",2006-05-31,1946-12-16,1,,,,,
SE-AUM,,,,PIPER J3C-65,10875,1943,"555,0",1980-12-31,1960-07-29,5,,,,,
SE-AUR,,,,SAAB-91A,91.103-1222,1946,"1075,0",2013-06-30,1946-10-09,1,Registrerad ägare,505138.0,Stiftelsen Aeroseum,Nya Bergets väg 50 417 46 GÖTEBORG Sweden,2004-04-16
SE-AUT,2001-11-16,Exported,Norway,PIPER J3C-65,11615,1943,"555,0",2000-03-31,1946-10-17,1,,,,,
SE-AUU,2006-06-26,Non-airworthy,,PIPER J3C-65,11661,1943,"555,0",1981-09-30,1946-11-16,1,,,,,
SE-AUW,,,,PIPER J3C-65,11686,1943,"590,0",1970-06-30,1947-03-18,3,,,,,
SE-AWK,,,,PIPER J3C-65,12418,1944,"555,0",1984-06-30,1946-11-16,1,,,,,
SE-AWL,,,,PIPER J3C-65,11871-1315,1943,"555,0",2025-06-30,1958-08-28,1,,,,,
SE-AWP,2003-10-21,Exported,Poland,PIPER J3C-65,1-1948,1948,"530,0",2003-12-31,1979-08-02,1,Senast registrerad ägare,502602.0,Varbergs Flygklubb,Getterövägen 2 432 93 VARBERG Sweden,1998-07-07
SE-AWS,,,,FAIRCHILD-24W-41,804-804,1943,"1162,0",2026-05-31,2007-03-21,1,,,,,
SE-AWU,1988-02-16,Total write-off,,ERCOUPE-415D,117,1945,"635,0",1988-06-30,1946-11-06,1,,,,,
SE-AWW,,,,PIPER J3C-65,16352-1258,1946,"555,0",2026-05-31,1947-01-10,1,,,,,
SE-AXB,,,,REPUBLIC-RC3,268-1348,1947,"1430,0",2019-05-31,1947-06-02,1,,,,,
SE-AXG,,,,REPUBLIC-RC3,399-1203,1947,"1430,0",1991-07-31,1947-07-16,1,,,,,
SE-AXM,,,,REPUBLIC-RC3,467,1947,"1430,0",1992-05-31,1947-07-16,1,,,,,
SE-AXR,,,,REPUBLIC-RC3,270,1947,"1430,0",2018-06-30,2004-11-11,1,,,,,
SE-AXX,,,,REPUBLIC-RC3,829-1168,1947,"1430,0",2018-06-30,1980-03-10,3,,,,,
SE-AXY,,,,REPUBLIC-RC3,830-1398,1947,"1475,0",2017-06-30,1948-07-26,1,,,,,
SE-AYC,1982-08-31,Non-airworthy,,SAAB-91A,91.104,1946,"1075,0",1964-09-30,1946-10-09,1,Senast registrerad ägare,502644.0,Olle Bulow AB,Döbelnsgatan 36 A 11320 STOCKHOLM Sweden,1968-02-19
SE-AYI,,,,FAIRCHILD-UC61A,572,1943,"1255,0",1963-12-31,1947-04-30,1,,,,,
SE-AYM,,,,MILES-M65,6296-707,1947,"1360,0",2025-12-31,1950-11-01,1,,,,,
SE-AYZ,,,,PIPER J3C-65,13264-1316,1945,"555,0",2022-06-30,1947-03-15,1,,,,,
SE-AZB,1982-12-15,Exported,United Kingdom,AUTOGIRO C.30.A,R 3/C A954,1935,"860,0",1967-06-30,1952-06-12,1,,,,,
SE-AZL,,,,LUSCOMBE 8E,5304-583,1947,"636,0",2023-05-31,2018-06-27,1,,,,,
SE-AZU,,,,LUSCOMBE 8F,4865,1947,"570,0",2026-07-31,1948-11-16,2,,,,,
SE-B01,1996-08-28,Exported,United States of America,SAAB-340B,340B-401,1996,"13155,0",,1996-08-16,1,Senast registrerad ägare,503813.0,Saab Aircraft AB,581 88 LINKÖPING Sweden,1996-08-16
SE-B02,1996-10-02,Exported,United States of America,SAAB-340B,340B-402,1996,"13155,0",,1996-09-04,1,Senast registrerad ägare,503813.0,Saab Aircraft AB,581 88 LINKÖPING Sweden,1996-09-04
SE-B03,1996-10-08,Exported,United States of America,SAAB-340B,340B-403,1996,"13155,0",,1996-09-16,1,Senast registrerad ägare,503813.0,Saab Aircraft AB,581 88 LINKÖPING Sweden,1996-09-16
SE-B04,1996-10-23,Exported,United States of America,SAAB-340B,340B-404,1996,"13155,0",,1996-10-02,1,Senast registrerad ägare,503813.0,Saab Aircraft AB,581 88 LINKÖPING Sweden,1996-10-02
SE-B05,1997-04-28,Exported,Japan,SAAB-340B,340B-405,1997,"13155,0",,1997-02-27,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,1997-02-27
SE-B06,1996-11-06,Exported,United States of America,SAAB-340B,340B-406,1996,"13155,0",,1996-10-16,1,Senast registrerad ägare,503813.0,Saab Aircraft AB,581 88 LINKÖPING Sweden,1996-10-16
SE-B07,1996-11-18,Exported,United States of America,SAAB-340B,340B-407,1996,"13155,0",,1996-10-31,1,Senast registrerad ägare,503813.0,Saab Aircraft AB,581 88 LINKÖPING Sweden,1996-10-31
SE-B08,1996-12-03,Exported,United States of America,SAAB-340B,340B-408,1996,"13155,0",,1996-11-06,1,Senast registrerad ägare,503813.0,Saab Aircraft AB,581 88 LINKÖPING Sweden,1996-11-06
SE-B09,2023-10-30,Transfer to military registration,,SAAB-340B-AEW 110,340B-409,1997,"13155,0",,2021-06-18,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,2021-06-18
SE-B10,1997-01-15,Exported,United States of America,SAAB-340B,340B-410,1997,"13155,0",,1997-01-10,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,1997-01-10
SE-B11,1997-01-30,Exported,United States of America,SAAB-340B,340B-411,1997,"13155,0",,1997-01-10,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,1997-01-10
SE-B12,1997-02-19,Exported,United States of America,SAAB-340B,340B-412,1997,"13155,0",,1997-02-14,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,1997-02-14
SE-B13,1997-03-10,Exported,United States of America,SAAB-340B,340B-413,1997,"13155,0",,1997-03-06,1,Senast registrerad ägare,501519.0,SAAB AB,581 88 Linköping Sweden,1997-03-06
